id,createdAt,updatedAt,pushedAt,diskUsage,isInOrganization,name,nameWithOwner,sshUrl,stargazerCount,configure,build,test,error
R_kgDOQxkplA,2025-12-31T08:27:03Z,2026-04-27T09:50:25Z,2026-04-27T09:50:21Z,56503,False,nextGPU-sunshine,bluefml1/nextGPU-sunshine,git@github.com:bluefml1/nextGPU-sunshine.git,0,False,False,False,clone failed
R_kgDOQxccdQ,2025-12-31T02:05:05Z,2026-03-08T00:50:19Z,2026-03-08T00:50:15Z,2430,False,infer-play,N-E-E/infer-play,git@github.com:N-E-E/infer-play.git,0,False,False,False,"cmake configure failed (rc=1): Error at /usr/share/cmake/Modules/CMakeDetermineCUDACompiler.cmake:180 (message):
  Failed to find nvcc.

  Compiler requires the CUDA toolkit.  Please set the CUDAToolkit_ROOT
  variable.
Call Stack (most recent call first):
  CMakeLists.txt:8 (project)


-- Configuring incomplete, errors occurred!"
R_kgDOQxIWJQ,2025-12-30T12:09:07Z,2026-05-06T03:53:41Z,2026-05-06T03:53:38Z,13547,True,pto-isa,cannmirror/pto-isa,git@github.com:cannmirror/pto-isa.git,1,False,False,False,"cmake configure failed (rc=1): /FetchContent.cmake:1762 (cmake_language)
  /usr/share/cmake/Modules/FetchContent.cmake:1976 (FetchContent_Populate)
  cmake/third_party/makeself-fetch.cmake:31 (FetchContent_MakeAvailable)
  cmake/package.cmake:13 (include)
  CMakeLists.txt:12 (include)


-- Configuring incomplete, errors occurred!"
R_kgDOQxDKxw,2025-12-30T09:09:39Z,2026-04-22T03:46:43Z,2026-05-05T06:29:31Z,2593,True,inheritance-chess,ObsidianHonorCoders/inheritance-chess,git@github.com:ObsidianHonorCoders/inheritance-chess.git,2,False,False,False,"cmake configure failed (rc=1): CMake Error at CMakeLists.txt:1 (cmake_minimum_required):
  CMake 3.28 or higher is required.  You are running version 3.26.5


-- Configuring incomplete, errors occurred!"
R_kgDOQw3u3Q,2025-12-30T00:49:10Z,2026-05-01T04:34:40Z,2026-05-01T04:34:36Z,2713,False,CK2,doyaGu/CK2,git@github.com:doyaGu/CK2.git,0,False,False,False,"cmake configure failed (rc=1): I info
-- Detecting CXX compiler ABI info - done
-- Check for working CXX compiler: /usr/bin/c++ - skipped
-- Detecting CXX compile features
-- Detecting CXX compile features - done
CMake Error at CMakeLists.txt:38 (message):
  CK2 only supports Windows.


-- Configuring incomplete, errors occurred!"
R_kgDOQwtW5g,2025-12-29T17:02:02Z,2026-05-04T09:14:47Z,2026-05-04T09:14:49Z,1071,False,sts_hardware_interface,adityakamath/sts_hardware_interface,git@github.com:adityakamath/sts_hardware_interface.git,11,False,False,False,"cmake configure failed (rc=1): CMake Error at CMakeLists.txt:1 (cmake_minimum_required):
  CMake 3.28 or higher is required.  You are running version 3.26.5


-- Configuring incomplete, errors occurred!"
R_kgDOQwXYvw,2025-12-29T03:54:54Z,2026-05-06T06:27:18Z,2026-05-06T06:27:36Z,2328,True,gn10-can,ararobo/gn10-can,git@github.com:ararobo/gn10-can.git,5,True,True,True,
R_kgDOQsDM6g,2025-12-20T06:03:30Z,2026-04-18T18:04:16Z,2026-04-18T18:04:10Z,300659,True,un9n,o9nn/un9n,git@github.com:o9nn/un9n.git,0,False,False,False,clone failed
R_kgDOQollpg,2025-12-14T15:42:28Z,2026-04-30T08:43:44Z,2026-05-06T05:35:37Z,1944,True,axon,archebase/axon,git@github.com:archebase/axon.git,7,False,False,False,clone failed
R_kgDOQnR0wg,2025-12-12T05:04:06Z,2026-04-03T14:02:48Z,2026-04-03T14:02:44Z,1814805,True,agi-os,o9nn/agi-os,git@github.com:o9nn/agi-os.git,0,False,False,False,clone failed
